5000;8985;5131
4997;1862;7506
5003;4236;382
4994;7113;3761
5006;492;7078
4991;9351;9452
5009;1725;2329
4988;4602;5708
5012;7981;8585
4985;857;959
5015;3232;9818
4982;126;3197
5018;3505;6074
4979;6382;8448
5021;8756;1325
4976;1633;8721
5024;994;1598
4973;3871;3972
5027;6245;6849
4970;9122;228
5030;2500;9087
4967;9395;1461
5033;1769;4338
4964;4646;7717
5036;8025;593
4961;901;2968
5039;3276;9862
4958;2135;3241
5042;5514;6118
4955;8390;8492
5045;765;1369
4952;3641;730
5048;1038;3607
4949;3915;5981
5051;6289;8858
4946;9166;2236
5054;2544;9131
4943;1404;1505
5057;3778;4382
4940;6655;7761
5060;33;637
4937;2910;3012
5063;5285;1871
4934;38;5250
5066;3417;8126
4931;6294;501
5069;8668;3377
4928;1545;8633
5072;906;1510
4925;3783;3884
5075;6157;6761
4922;9034;140
5078;2412;8999
4919;9307;1373
5081;1681;4250
4916;4558;7629
5084;7937;505
4913;813;2880
5087;3188;9774
4910;2047;3153
5090;5426;6030
4907;8302;8404
5093;677;1281
4904;3553;642
5096;950;3519
4901;3827;5893
5099;6201;8770
4898;9078;2149
5102;2456;9043
4895;1316;1417
5105;3690;4294
4892;6567;7673
5108;9945;549
4889;2822;2924
5111;5197;1783
4886;2091;5162
5114;5470;8038
4883;8346;413
5117;721;3289
4880;3597;686
5120;2959;3563
4877;5835;5937
5123;8210;8814
4874;1086;2192
5126;4465;1052
4871;9219;3426
5129;1593;6303
4868;4470;9681
5132;7849;2558
4865;725;4933
5135;3100;9686
4862;1959;3065
5138;5338;5942
4859;8214;8316
5141;589;1193
4856;3465;554
5144;862;3431
4853;3739;5805
5147;6113;8682
4850;8990;2061
5150;2368;8955
4847;1228;1329
5153;3602;4206
4844;6479;7585
5156;9857;461
4841;2734;2836
5159;5109;1695
4838;2003;5074
5162;5382;7950
4835;8258;325
5165;633;3201
4832;3509;598
5168;2871;3475
4829;5747;5849
5171;8122;8726
4826;998;2105
5174;4377;964
4823;1272;3338
5177;3646;6215
4820;6523;9594
5180;9901;2470
4817;2778;4845
5183;5153;1739
4814;4012;5118
5186;7390;7994
4811;267;369
5189;2642;3245
4808;5518;2607
5192;774;5483
4805;3651;7858
5195;6025;734
4802;8902;4113
5198;2280;8867
4799;1140;1241
5201;3514;4118
4796;6391;7497
5204;9769;373
4793;2646;2748
5207;5021;1607
4790;1915;4986
5210;5294;7862
4787;8170;237
5213;545;3113
4784;3421;510
5216;2783;3387
4781;5659;5761
5219;8034;8638
